time,prey,predator
2.150537634408602461e+00,2.208709432667128425e+01,6.718895673822279591e+00
2.200550137534383666e+00,2.234881487945690282e+01,6.795360965193139258e+00
2.250562640660165314e+00,2.260586002042678899e+01,6.873690945778469619e+00
2.300575143785946519e+00,2.285798964276174061e+01,6.953899423687820658e+00
2.350587646911728168e+00,2.310496955281008269e+01,7.036000115963219947e+00
2.400600150037509373e+00,2.334657243791402337e+01,7.120006579406330971e+00
2.450612653163291021e+00,2.358257811422237182e+01,7.205932196391420241e+00
2.500625156289072226e+00,2.381277352669048852e+01,7.293790174865346643e+00
2.550637659414853875e+00,2.403695291140545010e+01,7.383593530530661475e+00
2.600650162540635080e+00,2.425491849648656739e+01,7.475355044165372220e+00
2.650662665666416729e+00,2.446648037052538527e+01,7.569087269021490982e+00
2.700675168792198377e+00,2.467145693418906660e+01,7.664802433911592772e+00
2.750687671917979582e+00,2.486967494052272087e+01,7.762512436971887198e+00
2.800700175043761231e+00,2.506096949494941839e+01,7.862228845662222021e+00
2.850712678169542436e+00,2.524518407399658670e+01,7.963962863641150136e+00
2.900725181295324084e+00,2.542217073491821466e+01,8.067725274651664336e+00
2.950737684421105289e+00,2.559179003969055444e+01,8.173526450237147856e+00
3.000750187546886938e+00,2.575391091007777078e+01,8.281376216784195776e+00
3.050762690672668143e+00,2.590841062525152694e+01,8.391283849690228891e+00
3.100775193798449791e+00,2.605517482179096689e+01,8.503258073363495484e+00
3.150787696924230996e+00,2.619409738496647577e+01,8.617307027721114565e+00
3.200800200050012645e+00,2.632508011394186553e+01,8.733438157333166529e+00
3.250812703175794294e+00,2.644803292805753259e+01,8.851658273314052749e+00
3.300825206301575498e+00,2.656287316084711136e+01,8.971973346100680757e+00
3.350837709427357147e+00,2.666952549417891305e+01,9.094388485718125636e+00
3.400850212553138352e+00,2.676792195825593268e+01,9.218907941779617587e+00
3.450862715678920001e+00,2.685800191826714567e+01,9.345535099865887929e+00
3.500875218804701205e+00,2.693971128607262955e+01,9.474272281450650368e+00
3.550887721930482854e+00,2.701300286476970669e+01,9.605120864991238960e+00
3.600900225056264059e+00,2.707783569378185007e+01,9.738081074748382804e+00
3.650912728182045708e+00,2.713417453561069337e+01,9.873151834016573147e+00
3.700925231307826913e+00,2.718198987583604875e+01,1.001033076512406517e+01
3.750937734433608561e+00,2.722125792311589265e+01,1.014961418943288685e+01
3.800950237559390210e+00,2.725196057858315513e+01,1.029099711587506683e+01
3.850962740685171415e+00,2.727408435633073580e+01,1.043447288154422736e+01
3.900975243810953064e+00,2.728762101530188744e+01,1.058003346753674201e+01
3.950987746936734268e+00,2.729256685442658181e+01,1.072766913390018217e+01
4.001000250062515917e+00,2.728892216940794668e+01,1.087736819617099293e+01
4.051012753188297566e+00,2.727669125272225870e+01,1.102911702537446637e+01
4.101025256314078327e+00,2.725588239361895049e+01,1.118290004802476467e+01
4.151037759439859975e+00,2.722650787812060713e+01,1.133869974612491482e+01
4.201050262565641624e+00,2.718858387055780668e+01,1.149649657364882316e+01
4.251062765691423273e+00,2.714212941440630544e+01,1.165626838953893341e+01
4.301075268817204922e+00,2.708716711877732664e+01,1.181799099944391607e+01
4.351087771942985682e+00,2.702372263369384342e+01,1.198163752792504155e+01
4.401100275068767331e+00,2.695182448565496003e+01,1.214717827996173405e+01
4.451112778194548980e+00,2.687150407763592597e+01,1.231458074095156263e+01
4.501125281320330629e+00,2.678279568908812536e+01,1.248380957671024660e+01
4.551137784446111390e+00,2.668573647593907694e+01,1.265482663347165726e+01
4.601150287571893038e+00,2.658036639626479669e+01,1.282759061465898043e+01
4.651162790697674687e+00,2.646672794778016069e+01,1.300205670986037454e+01
4.701175293823456336e+00,2.634486638588753138e+01,1.317817689582535579e+01
4.751187796949237097e+00,2.621482977918687851e+01,1.335589932464664287e+01
4.801200300075018745e+00,2.607666900839955915e+01,1.353516830983354247e+01
4.851212803200800394e+00,2.593043776636831410e+01,1.371592432631192437e+01
4.901225306326582043e+00,2.577619255805725018e+01,1.389810401042423926e+01
4.951237809452363692e+00,2.561399296502261080e+01,1.408163981885486393e+01
5.001250312578144452e+00,2.544390175282901012e+01,1.426645969956061677e+01
5.051262815703926101e+00,2.526598489821112636e+01,1.445248722944558395e+01
5.101275318829707750e+00,2.508031213420684225e+01,1.463964109425909399e+01
5.151287821955489399e+00,2.488695695543032471e+01,1.482783508279150730e+01
5.201300325081270159e+00,2.468599661807204271e+01,1.501697808687419311e+01
5.251312828207051808e+00,2.447751218608021873e+01,1.520697407661969613e+01
5.301325331332833457e+00,2.426158947299204272e+01,1.539772152049084397e+01
5.351337834458615106e+00,2.403831861405674175e+01,1.558911351495350139e+01
5.401350337584396755e+00,2.380779496507725668e+01,1.578103746414879538e+01
5.451362840710177515e+00,2.357011948703466686e+01,1.597337489930260190e+01
5.501375343835959164e+00,2.332539874608818664e+01,1.616600147872556903e+01
5.551387846961740813e+00,2.307374491357517954e+01,1.635878698781307961e+01
5.601400350087522462e+00,2.281527628815675968e+01,1.655159519866893447e+01
5.651412853213303222e+00,2.255011832573633157e+01,1.674428339085471151e+01
5.701425356339084871e+00,2.227840315681799410e+01,1.693670253685444749e+01
5.751437859464866520e+00,2.200027102791702305e+01,1.712869713289590479e+01
5.801450362590648169e+00,2.171587036444838859e+01,1.732010518703852497e+01
5.851462865716428929e+00,2.142535777072675529e+01,1.751075821917341457e+01
5.901475368842210578e+00,2.112889803068343397e+01,1.770048126111267450e+01
5.951487871967992227e+00,2.082666531709423907e+01,1.788909284531804644e+01
6.001500375093773876e+00,2.051884372831434789e+01,1.807640461087507333e+01
6.051512878219555525e+00,2.020562734245823933e+01,1.826222176076468884e+01
6.101525381345336285e+00,1.988722106669611378e+01,1.844634331003595662e+01
6.151537884471117934e+00,1.956384063725388600e+01,1.862856208580608808e+01
6.201550387596899583e+00,1.923571261941322419e+01,1.880866472726039973e+01
6.251562890722681232e+00,1.890307472541298850e+01,1.898643187668475463e+01
6.301575393848461992e+00,1.856617716628037229e+01,1.916163852196790174e+01
